Student ID,Topic,Score,Time Taken (seconds),Feedback,Recommended Path,Attempts
S001,Time Speed and Distance,0,767,Speed Test,Level 1 → Level 2 → Speed Test,5
S002,Time and Work,20,636,Level 2,Level 1 → Level 2 → Speed Test,3
S003,Time Speed and Distance,36,319,Level 1,Speed Test → Level 1 → Level 2,5
S004,Time and Work,8,385,Speed Test,Speed Test → Level 1 → Level 2,4
S005,Time Speed and Distance,8,177,Level 1,Level 1 → Level 2 → Speed Test,5
S006,Time and Work,32,733,Level 1,Level 1 → Level 2 → Speed Test,2
S007,Time and Work,0,406,Level 2,Level 1 → Level 2 → Speed Test,3
S008,Time and Work,0,656,Level 2,Level 2 → Level 1 → Speed Test,3
S009,Time Speed and Distance,32,602,Level 1,Level 1 → Level 2 → Speed Test,1
S010,Percentages,12,815,Speed Test,Level 1 → Level 2 → Speed Test,2
S011,Percentages,4,898,Level 2,Speed Test → Level 1 → Level 2,2
S012,Percentages,16,809,Speed Test,Speed Test → Level 1 → Level 2,3
S013,Time and Work,12,172,Level 2,Level 1 → Level 2 → Speed Test,1
S014,Time Speed and Distance,28,649,Speed Test,Level 1 → Level 2 → Speed Test,5
S015,Time Speed and Distance,32,498,Level 2,Level 1 → Level 2 → Speed Test,5
S016,Percentages,32,605,Level 2,Level 1 → Speed Test → Level 2,4
S017,Time and Work,4,255,Level 2,Level 1 → Speed Test → Level 2,3
S018,Percentages,0,302,Level 2,Level 2 → Level 1 → Speed Test,4
S019,Time Speed and Distance,28,168,Speed Test,Speed Test → Level 1 → Level 2,4
S020,Time Speed and Distance,36,482,Level 1,Level 2 → Level 1 → Speed Test,5
S021,Time Speed and Distance,4,355,Speed Test,Speed Test → Level 1 → Level 2,5
S022,Time Speed and Distance,28,385,Level 1,Level 1 → Speed Test → Level 2,4
S023,Percentages,4,308,Level 1,Level 2 → Level 1 → Speed Test,4
S024,Time Speed and Distance,0,739,Speed Test,Level 2 → Level 1 → Speed Test,4
S025,Time Speed and Distance,36,769,Level 1,Level 1 → Level 2 → Speed Test,4
S026,Time Speed and Distance,24,466,Level 1,Level 1 → Level 2 → Speed Test,2
S027,Percentages,32,827,Level 1,Level 1 → Speed Test → Level 2,5
S028,Time and Work,8,386,Level 2,Speed Test → Level 1 → Level 2,4
S029,Percentages,36,697,Level 2,Level 2 → Level 1 → Speed Test,1
S030,Percentages,0,256,Level 1,Level 2 → Level 1 → Speed Test,3
S031,Time Speed and Distance,16,500,Level 2,Level 1 → Level 2 → Speed Test,2
S032,Time Speed and Distance,8,252,Speed Test,Level 1 → Speed Test → Level 2,3
S033,Percentages,20,305,Level 2,Level 1 → Level 2 → Speed Test,4
S034,Percentages,24,128,Speed Test,Speed Test → Level 1 → Level 2,3
S035,Time Speed and Distance,4,144,Level 2,Level 1 → Level 2 → Speed Test,4
