QuestionID,Subtopic,Type,DifficultyLevel,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
1,"Time, speed, distance",Adaptive,Level 1,A covers 10 km distance with average speed of 6 km/h while rest 20 km he travels with an average speed of 15 km/h. What is the average speed of A during the whole journey?,10 km/h,12 km/h,13 km/h,14.5 km/h,A
2,"Time, speed, distance",Adaptive,Level 1,A covers half of his distance with 20 km/h and rest with 30 km/h. What is the average speed during the whole journey?,20 km/h,24 km/h,25 km/h,26 km/h,B
3,"Time, speed, distance",Adaptive,Level 1,A covers 1/3rd of his journey at the speed of 10 km/h and half of the rest at the speed of 20 km/h and rest at the speed of 30 km/h. What is the average speed of A?,6 2/11 km/h,12 km/h,16 4/11 km/h,none of these,B
4,"Time, speed, distance",Adaptive,Level 1,A covers 1/4th of his journey at 20 km/h and 1/3rd of the rest at 25 km/h and rest at 30 km/h. What is the average speed of A?,13 78/89 km/h,12 km/h,26 86/89 km/h,28 km/h,C
5,"Time, speed, distance",Adaptive,Level 1,"A covered half of his journey at 20 km/h and rest at x km/h, then his average speed is 24 km/h. What is the value of x?",30,32,36,40,A
6,"Time, speed, distance",Adaptive,Level 1,A man covered half of the distance at 3x km/h and rest at 5x km/h. What is the average speed of the man?,4x km/h,3.5x km/h,3.75x km/h,none of these,C
7,"Time, speed, distance",Adaptive,Level 1,"A person goes to his office at 1/3rd of the speed at which he returns from his office. If the average speed during the whole trip e.g., one round is 12 km/h. What is the speed of the person while he was going to office?",10,6,8,Can't be determined,C
8,"Time, speed, distance",Diagnostic,Level 1,"A person X starts from Lucknow and another person Y starts from Kanpur to meet each other. Speed of X is 25 km/h, while speed of Y is 35 km/h. If the distance between Lucknow and Kanpur be 120 km and X and Y start their journey at the same time, when will they meet?",1 h later,2 h later,0.5 h later,3 h later,B
9,"Time, speed, distance",Adaptive,Level 1,"A person X starts from Lucknow and another person Y starts from Kanpur to meet each other. Speed of X is 25 km/h, while speed of Y is 35 km/h. If the distance between Lucknow and Kanpur be 120 km and X and Y start their journey at the same time, what is the distance from Lucknow where they meet?",50 km,60 km,100 km,80 km,A
10,"Time, speed, distance",Adaptive,Level 1,"Two persons A and B started from two different places towards each other. If the ratio of their speeds be 3:5, then what is the ratio of distance covered by A and B respectively till the point of meeting?",1 : 2,3 : 4,3 : 5,5 : 3,C
11,"Time, speed, distance",Diagnostic,Level 1,A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If they first time meet at point Z somewhere between X and Y then the distance between X and Z is:,20 km,40 km,25 km,30 km,C
12,"Time, speed, distance",Adaptive,Level 1,A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If they continue to move to and fro between X and Y then what is the distance covered by P when they meet second time?,105 km,100 km,80 km,75 km,D
13,"Time, speed, distance",Adaptive,Level 1,A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If they continue to move to and fro between X and Y then what is the distance travelled by Q when they meet each other for the third time?,375 km,225 km,350 km,445 km,A
14,"Time, speed, distance",Adaptive,Level 1,"A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If P and Q continue to move between X and Y in the given manner and if they meet for the fourth time at a place M somewhere between X and Y, then the distance between X and M is:",10 km,90 km,75 km,25 km,D
15,"Time, speed, distance",Diagnostic,Level 1,"A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If P and Q continue to move between X and Y, then the ratio of distances covered by P and Q when they meet for the 5th time is:",1 : 4,1 : 3,2 : 3,3:4,B
16,"Time, speed, distance",Diagnostic,Level 1,"A person P is at X and another person Q is at Y. The distance between X and Y is 100km. The speed of p is  20 km/h. While the speed of Q is 60 km/h. If P and Q continue to move between X and Y, then the distance covered by P and Q together between any two consecutive meetings?",100,300,200,can't be determined,C
17,"Time, speed, distance",Adaptive,Level 1,A person P starts his journey from A and another person Q starts his journey from B towards each other. The speed of P and Q are 16 km/h and 25 km/h respectively and they meet at point M somewhere between A and B when they start their journey simultaneously.  What is the ratio of time taken by P and Q to reach at M?,1 : 4,1 : 1,4 : 5,16 : 25,B
18,"Time, speed, distance",Adaptive,Level 1,A person P starts his journey from A and another person Q starts his journey from B towards each other. The speed of P and Q are 16 km/h and 25 km/h respectively and they meet at point M somewhere between A and B when they start their journey simultaneously.. What is the ratio of time taken by P and Q to reach B and A respectively?,16 : 25,1 : 1,25 : 16,4 : 5,C
19,"Time, speed, distance",Adaptive,Level 1,A person P starts his journey from A and another person Q starts his journey from B towards each other. The speed of P and Q are 16 km/h and 25 km/h respectively and they meet at point M somewhere between A and B when they start their journey simultaneously.. What is the ratio of time taken by P and Q after meeting each other at M to reach B and A respectively?,25 : 16,625 : 256,16 : 25,4 : 5,B
20,"Time, speed, distance",Diagnostic,Level 1,"The speeds of Vimal and Kamal are 30 km/h and 40 km/h. Initially Kamal is at a place L and Vimal is at a place M. The distance between L and M is 650 km. Vimal started his journey 3 hours earlier than Kamal to meet each other. If they meet each other at a place P somewhere between L and M, then the distance between P and M is:",220 km,250 km,330 km,320 km,C
21,"Time, speed, distance",Adaptive,Level 1,"The speeds of Vimal and Kamal are 30 km/h and 40 km/h. Initially Kamal is at a place L and Vimal is at a place M. The distance between L and M is 650 km. Vimal started his journey 3 hours earlier than Kamal to meet each other. If they meet each other at a place P somewhere between L and M, then the distance between P and M is: what is the distance between L and P ?",220 km,320 km,330 km,none of these,B
22,"Time, speed, distance",Adaptive,Level 1,"There are two places X and Y, 200 km apart from each other. Initially two persons P and Q both are at 'X'. The speed of P is 20 Km/h and speed of Q is 30 Km/h. Later on they start to move to move to and fro between X and Y. If they start to move between X and Y then, for the first time when they will meet each other?",after 12 hours,after 24 hours,after 30 hours,after 8 hours,D
23,"Time, speed, distance",Adaptive,Level 1,"There are two places X and Y, 200 km apart from each other. Initially two persons P and Q both are at 'X'. The speed of P is 20 Km/h and speed of Q is 30 Km/h. Later on they start to move to move to and fro between X and Y. If they meet first time at a point M somewhere between X and Y, then what is the distance travelled by P?",160 km,150 km,200 km,210 km,A
24,"Time, speed, distance",Adaptive,Level 1,"There are two places X and Y, 200 km apart from each other. Initially two persons P and Q both are at 'X'. The speed of P is 20 Km/h and speed of Q is 30 Km/h. Later on they start to move to move to and fro between X and Y. If they meet second time each other at a point N somewhere between X and Y, then the distance travelled by Q is:",240 km,480 km,360 km,none of these,B
25,"Time, speed, distance",Diagnostic,Level 1,"There are two places X and Y, 200 km apart from each other. Initially two persons P and Q both are at 'X'. The speed of P is 20 Km/h and speed of Q is 30 Km/h. Later on they start to move to move to and fro between X and Y. If they meet third time each other at a point C, somewhere between X and Y, then the ratio of distances CX and CY is:",3 : 2,1 : 3,2 : 3,2 : 5,C
